taxa,PC1,PC2,PC3
T,28.5423819223596,-1.30708809421579,-2.34526673092992
T,28.3138533743283,-2.04673200419963,-4.41189508256634
T,27.8513336977669,-2.90489817186978,-4.52179903994198
T,27.493958783589,-2.42366869547218,-3.7239602121181
T,27.2876177644292,-2.58102399807879,-0.172870837896543
T,27.717275792088,-2.06212442050449,0.379278058982421
T,29.4858431537458,-1.91618512068524,-2.48980889264099
T,28.1663437676208,-2.01367122305193,-2.1160733100509
T,28.3474618778597,-2.52751026607732,-2.31694175752812
T,27.0959029771439,-2.09938256625375,0.612151823762511
T,27.1569444966429,-2.72338512151009,-0.831998596129691
T,26.3175183655194,-1.66495032015541,-0.898086352141695
T,32.8502503866922,-2.78755551999285,-6.39951064153463
T,32.1504870422657,-3.25793920668815,-5.51123697345364
T,30.3381448595896,-1.7547701973358,-3.15270296686813
T,27.654763651071,-2.01620643345489,-3.64427678159976
T,27.9785667269349,-3.53035422195201,-4.08085443752813
T,28.109304349744,-0.884846929438224,-2.06320434776238
T,28.4833357099547,-5.05053511481263,-5.65768143051918
T,31.5056618556999,-2.38408822014451,-4.16348162403466
T,30.3661422760004,-2.98031968870301,-4.95925190798041
T,24.4152338134866,-2.69654329883769,1.00478474908219
T,28.9818131219425,-3.02465973167301,-1.91932352050137
T,31.3860311174514,-2.59644904265088,-3.29024287746904
T,29.5493316233406,-3.04406815193652,-3.81599926578575
T,29.5064905717567,-3.14452317542277,-4.33892940559521
T,27.2242905208283,-2.59794695877237,-2.96406117706975
T,29.2362586903113,-2.54206078026498,-3.18670684956114
T,30.9573889688774,-2.44310150066958,-3.4861090166762
T,28.4356970672884,-2.62348492528984,-1.37994635503467
T,28.9155028954552,-2.01183363242314,-0.663492333199133
T,29.9637159737036,-3.13522235657092,-5.03877100584569
T,-24.8849163044621,-2.96765710644322,-7.25242691563668
T,-26.0960574553382,-0.373969099325271,-3.65847514705156
T,-25.6510120081761,-2.02249796643177,-5.87320570600933
T,-25.2725791550622,-0.723309076282097,-4.45911939305465
T,-24.8539552894764,-1.5232028677523,-6.42755306880048
T,-24.6853607244656,-2.07135743025753,-6.43062048213304
T,-25.8186730106242,-1.73290710813379,-5.95389653955277
T,-24.6562324324761,-2.49987783581729,-6.56172503034651
T,-24.6023593135707,-1.28001298696523,-4.18008769847327
T,-25.8401730314243,-1.79763830039114,-4.71889810253313
T,-24.4106574180924,-4.84613664017944,-5.15317832521423
T,-22.1267041926225,-1.06692001745141,-5.17733062423534
T,-26.2141924760493,-2.34829930195057,-6.47562285811996
T,-25.9092104809132,-1.00092427149784,-6.16863180949131
T,-26.1292636823893,-0.662897332799578,-4.409725324851
T,-25.0404000732601,-2.96517725088561,-4.36225837114351
T,-25.2808360609114,-0.244375297593134,-4.65601869937512
T,-25.7552789337852,-2.3596839748343,-6.31976131110548
T,-26.355495776092,-0.404964697741112,-5.61856336554946
T,-26.2026023536096,-2.92204015457738,-4.79792238746405
T,-25.0305209025599,-4.71843201157933,-5.08564469475206
T,-24.5602838931921,-2.04861046901014,-5.03158530462587
T,-22.6063314637486,-11.0773254369768,-1.21573928083381
T,-24.7076174964123,-3.41648178173331,-4.30269615225413
T,-24.8240188558893,-0.987134921520847,-6.30233491108252
T,-26.038209073326,-1.77922363813278,-6.18825082521008
T,-24.5310799041915,-0.352700163160057,-7.0463096149232
T,-25.7720752677152,-2.1406448675075,-5.98599673964144
T,-25.3474205751708,-3.20180955481873,-5.30311713806101
T,-24.3427314062536,-0.123019444047737,-6.28943068963111
T,-24.2567251720697,-8.8498377946378,-4.34252607824699
T,-24.3740839917492,-8.54018986569969,-3.65876479228718
T,-3.24514560990314,5.44169385337726,5.4801343909217
T,-9.33272238138194,15.4795638277057,-2.50761125721913
T,-8.08157227126939,14.7452069353035,-4.36805518316165
T,-7.28588980312975,15.587677557119,-5.41042786214471
T,-7.04995655953481,20.7813044714574,-3.40304812615353
T,-7.29042263455488,20.8684614108346,-2.86680483269542
T,-7.63982821868455,19.2205960454295,-2.35758963934605
C,-6.4759586455923,18.681465618491,-1.45842671490088
T,-6.39083155379438,21.5355793257848,-2.67424546602886
T,-6.67338334530954,20.6802768377728,-5.35202392351214
T,-7.62726722851074,20.7945922922819,-2.83255199696101
T,-7.47532290890177,19.9753234998381,-1.70469857284586
T,-8.34868423498676,21.217926485248,-4.81110393090923
C,-8.1805737396847,18.0790535330733,-1.75220833538013
T,-8.76619559823378,21.8552952654148,-2.56495013707801
T,-6.76830983858069,19.2766775521401,-1.80969015197225
T,-8.67584850204836,19.0486470510972,-3.08669829967479
C,-6.94126078789134,21.3808333976985,-3.71398322824399
T,-11.9595652815716,24.0797842141436,-2.80654154580389
C,-10.7730073655908,23.7306014424458,-4.70700766925932
T,-10.1501186274686,19.7075878877741,-1.45386699841742
T,-10.3797447903199,21.2888989404708,-2.3041766660449
T,-12.4685332872813,18.9322406461738,-3.23216288055828
T,-12.2574574498011,24.0218116177945,-3.14536264285459
T,-9.24433582771752,22.316891424646,-3.48082378338996
T,-8.83101246996143,22.8245999077133,-3.49567615641623
T,-10.3636356243797,23.7526532808437,-3.92233758471169
C,-12.0624434465424,20.193596491609,-4.72942075396232
C,-12.2630204694108,19.8731965586686,-3.60794813197819
C,-13.2280516363004,19.7966463733429,-3.74207694046122
T,-10.9287056311205,21.7759708800518,-5.05087171237153
T,-10.9063167892079,20.721940921311,-5.51287651500111
T,-10.2445278915451,19.9912882898306,-2.73307519541074
T,-8.8701301258929,19.6115564392522,-3.10223782760086
T,-10.0645455290461,24.273721139075,-3.57085828571012
Y,-8.6427032939802,22.4391984423771,-2.1516563367561
T,-6.05269254517605,12.3541516918521,4.05107366599586
T,-6.366135415849,16.4087088875681,1.45171566250454
T,-16.0399771310127,2.46672776143499,0.667494634967698
